M:StockSharp.Community.INotificationService.SendMessage(System.Guid,System.String,System.String,System.Int64[],System.Boolean)/param/sessionId;DocStr138
M:StockSharp.Community.INotificationService.SendMessage(System.Guid,System.String,System.String,System.Int64[],System.Boolean)/param/title;DocStr3023
M:StockSharp.Community.INotificationService.SendMessage(System.Guid,System.String,System.String,System.Int64[],System.Boolean)/param/body;DocStr3020
M:StockSharp.Community.INotificationService.SendMessage(System.Guid,System.String,System.String,System.Int64[],System.Boolean)/param/attachments;DocStr9547
M:StockSharp.Community.INotificationService.SendMessage(System.Guid,System.String,System.String,System.Int64[],System.Boolean)/param/isEnglish;DocStr9452
M:StockSharp.Community.INotificationService.SendMessage(System.Guid,System.String,System.String,System.Int64[],System.Boolean)/returns;DocStr3021
M:StockSharp.Community.INotificationService.GetNews2(System.Guid,System.Boolean,System.Int64)/summary;DocStr3024
M:StockSharp.Community.INotificationService.GetNews2(System.Guid,System.Boolean,System.Int64)/param/sessionId;DocStr3025
M:StockSharp.Community.INotificationService.GetNews2(System.Guid,System.Boolean,System.Int64)/param/isEnglish;DocStr9195
M:StockSharp.Community.INotificationService.GetNews2(System.Guid,System.Boolean,System.Int64)/param/fromId;DocStr3026
M:StockSharp.Community.INotificationService.GetNews2(System.Guid,System.Boolean,System.Int64)/returns;DocStr3027
M:StockSharp.Community.INotificationService.HasFeedback(System.Guid,StockSharp.Community.Products)/summary;DocStr9823
M:StockSharp.Community.INotificationService.HasFeedback(System.Guid,StockSharp.Community.Products)/param/sessionId;DocStr138
M:StockSharp.Community.INotificationService.HasFeedback(System.Guid,StockSharp.Community.Products)/param/product;Product
M:StockSharp.Community.INotificationService.HasFeedback(System.Guid,StockSharp.Community.Products)/returns;DocStr8659
M:StockSharp.Community.INotificationService.SendFeedback(System.Guid,StockSharp.Community.Products,System.Int32,System.String)/summary;DocStr9824
M:StockSharp.Community.INotificationService.SendFeedback(System.Guid,StockSharp.Community.Products,System.Int32,System.String)/param/sessionId;DocStr138
M:StockSharp.Community.INotificationService.SendFeedback(System.Guid,StockSharp.Community.Products,System.Int32,System.String)/param/product;Product
M:StockSharp.Community.INotificationService.SendFeedback(System.Guid,StockSharp.Community.Products,System.Int32,System.String)/param/rating;DocStr9825
M:StockSharp.Community.INotificationService.SendFeedback(System.Guid,StockSharp.Community.Products,System.Int32,System.String)/param/comment;Str135
M:StockSharp.Community.INotificationService.SendFeedback(System.Guid,StockSharp.Community.Products,System.Int32,System.String)/returns;DocStr3021
T:StockSharp.Community.IProfileService/summary;DocStr3037
M:StockSharp.Community.IProfileService.CreateProfile(StockSharp.Community.Profile)/summary;DocStr3038
M:StockSharp.Community.IProfileService.CreateProfile(StockSharp.Community.Profile)/param/profile;DocStr3028
M:StockSharp.Community.IProfileService.CreateProfile(StockSharp.Community.Profile)/returns;DocStr3021
M:StockSharp.Community.IProfileService.SendEmail(System.String)/summary;DocStr3039
M:StockSharp.Community.IProfileService.SendEmail(System.String)/param/email;EmailAddress
M:StockSharp.Community.IProfileService.SendEmail(System.String)/returns;DocStr3021
M:StockSharp.Community.IProfileService.ValidateEmail(System.String,System.String)/summary;DocStr3040
M:StockSharp.Community.IProfileService.ValidateEmail(System.String,System.String)/param/email;EmailAddress
M:StockSharp.Community.IProfileService.ValidateEmail(System.String,System.String)/param/emailCode;DocStr3041
M:StockSharp.Community.IProfileService.ValidateEmail(System.String,System.String)/returns;DocStr3021
M:StockSharp.Community.IProfileService.SendSms(System.String,System.String)/summary;DocStr3042
M:StockSharp.Community.IProfileService.SendSms(System.String,System.String)/param/email;EmailAddress
M:StockSharp.Community.IProfileService.SendSms(System.String,System.String)/param/phone;Phone
M:StockSharp.Community.IProfileService.SendSms(System.String,System.String)/returns;DocStr3021
M:StockSharp.Community.IProfileService.ValidatePhone(System.String,System.String)/summary;DocStr3043
M:StockSharp.Community.IProfileService.ValidatePhone(System.String,System.String)/param/email;EmailAddress
M:StockSharp.Community.IProfileService.ValidatePhone(System.String,System.String)/param/smsCode;DocStr3044
M:StockSharp.Community.IProfileService.ValidatePhone(System.String,System.String)/returns;DocStr3021
M:StockSharp.Community.IProfileService.UpdateProfile(System.Guid,StockSharp.Community.Profile)/summary;DocStr3045
